Valores iniciais calculados:
Temperatura Inicial Média: 22.2 °C
Humidade Inicial Média: 57.0 %
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 59.0 %   | OFF     | 8:17    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 62.0 %   | ON      | 8:18    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 62.0 %   | ON      | 8:19    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 64.0 %   | ON      | 8:20    |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 64.0 %   | ON      | 8:21    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 66.0 %   | ON      | 8:22    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 66.0 %   | ON      | 8:23    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 68.0 %   | ON      | 8:24    |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 68.0 %   | ON      | 8:25    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 69.0 %   | ON      | 8:26    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 69.0 %   | ON      | 8:27    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 70.0 %   | ON      | 8:28    |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 70.0 %   | ON      | 8:29    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 71.0 %   | ON      | 8:30    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 71.0 %   | ON      | 8:31    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 72.0 %   | ON      | 8:32    |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 72.0 %   | ON      | 8:33    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 8:34    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 8:35    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 8:36    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 8:37    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 8:38    |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 73.0 %   | ON      | 8:39    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 73.0 %   | ON      | 8:40    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 73.0 %   | ON      | 8:41    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 73.0 %   | ON      | 8:42    |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 73.0 %   | ON      | 8:43    |
| 22.2 °C             | 57.0 %           | 26.3 °C     | OFF      | 73.0 %   | ON      | 8:44    |
| 22.2 °C             | 57.0 %           | 26.3 °C     | OFF      | 73.0 %   | ON      | 8:45    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 73.0 %   | ON      | 8:46    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 73.0 %   | ON      | 8:47    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 73.0 %   | ON      | 8:48    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 73.0 %   | ON      | 8:49    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 72.0 %   | ON      | 8:50    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 72.0 %   | ON      | 8:51    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 73.0 %   | ON      | 8:52    |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 73.0 %   | ON      | 8:53    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 73.0 %   | ON      | 8:54    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 73.0 %   | ON      | 8:55    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 73.0 %   | ON      | 8:56    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 73.0 %   | ON      | 8:57    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 73.0 %   | ON      | 8:58    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 73.0 %   | ON      | 8:59    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 73.0 %   | ON      | 9:00    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 73.0 %   | ON      | 9:01    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:02    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:03    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:04    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:05    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:06    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:07    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:08    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:09    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:10    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:11    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:12    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 72.0 %   | ON      | 9:13    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 72.0 %   | ON      | 9:14    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:15    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:16    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:17    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:18    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:19    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:20    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:21    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:22    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:23    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:24    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 72.0 %   | ON      | 9:25    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 72.0 %   | ON      | 9:26    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:27    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 73.0 %   | ON      | 9:28    |
| 22.2 °C             | 57.0 %           | 28.0 °C     | ON       | 74.0 %   | ON      | 9:29    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 28.0 °C     | ON       | 74.0 %   | ON      | 9:30    |
| 22.2 °C             | 57.0 %           | 28.0 °C     | ON       | 74.0 %   | ON      | 9:31    |
| 22.2 °C             | 57.0 %           | 28.0 °C     | ON       | 74.0 %   | ON      | 9:32    |
| 22.2 °C             | 57.0 %           | 28.0 °C     | ON       | 72.0 %   | ON      | 9:33    |
| 22.2 °C             | 57.0 %           | 28.0 °C     | ON       | 72.0 %   | ON      | 9:34    |
| 22.2 °C             | 57.0 %           | 28.0 °C     | ON       | 72.0 %   | ON      | 9:35    |
| 22.2 °C             | 57.0 %           | 28.0 °C     | ON       | 72.0 %   | ON      | 9:36    |
| 22.2 °C             | 57.0 %           | 28.0 °C     | ON       | 72.0 %   | ON      | 9:37    |
| 22.2 °C             | 57.0 %           | 28.0 °C     | ON       | 72.0 %   | ON      | 9:38    |
| 22.2 °C             | 57.0 %           | 28.0 °C     | ON       | 71.0 %   | ON      | 9:39    |
| 22.2 °C             | 57.0 %           | 28.0 °C     | ON       | 71.0 %   | ON      | 9:40    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 71.0 %   | ON      | 9:41    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 71.0 %   | ON      | 9:42    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 70.0 %   | ON      | 9:43    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 70.0 %   | ON      | 9:44    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 69.0 %   | ON      | 9:45    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 69.0 %   | ON      | 9:46    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 68.0 %   | ON      | 9:47    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 68.0 %   | ON      | 9:48    |
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 66.0 %   | ON      | 9:49    |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 27.6 °C     | ON       | 66.0 %   | ON      | 9:50    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 64.0 %   | ON      | 9:51    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 64.0 %   | ON      | 9:52    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 63.0 %   | ON      | 9:53    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 63.0 %   | ON      | 9:54    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 62.0 %   | ON      | 9:55    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 62.0 %   | ON      | 9:56    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 62.0 %   | ON      | 9:57    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 62.0 %   | ON      | 9:58    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 60.0 %   | OFF     | 9:59    |
| 22.2 °C             | 57.0 %           | 27.1 °C     | OFF      | 60.0 %   | OFF     | 10:00   |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 59.0 %   | OFF     | 10:01   |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 59.0 %   | OFF     | 10:02   |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 58.0 %   | OFF     | 10:03   |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 58.0 %   | OFF     | 10:04   |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 58.0 %   | OFF     | 10:05   |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 58.0 %   | OFF     | 10:06   |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 57.0 %   | OFF     | 10:07   |
| 22.2 °C             | 57.0 %           | 26.7 °C     | OFF      | 57.0 %   | OFF     | 10:08   |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 56.0 %   | OFF     | 10:09   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 56.0 %   | OFF     | 10:10   |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 55.0 %   | OFF     | 10:11   |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 55.0 %   | OFF     | 10:12   |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 54.0 %   | OFF     | 10:13   |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 54.0 %   | OFF     | 10:14   |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 54.0 %   | OFF     | 10:15   |
| 22.2 °C             | 57.0 %           | 26.2 °C     | OFF      | 54.0 %   | OFF     | 10:16   |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 54.0 %   | OFF     | 10:17   |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 54.0 %   | OFF     | 10:18   |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 53.0 %   | OFF     | 10:19   |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 53.0 %   | OFF     | 10:20   |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 53.0 %   | OFF     | 10:21   |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 53.0 %   | OFF     | 10:22   |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 53.0 %   | OFF     | 10:23   |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 53.0 %   | OFF     | 10:24   |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 53.0 %   | OFF     | 10:25   |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 52.0 %   | OFF     | 10:26   |
| 22.2 °C             | 57.0 %           | 25.8 °C     | OFF      | 52.0 %   | OFF     | 10:27   |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 52.0 %   | OFF     | 10:28   |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 52.0 %   | OFF     | 10:29   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 52.0 %   | OFF     | 10:30   |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 52.0 %   | OFF     | 10:31   |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 52.0 %   | OFF     | 10:32   |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 52.0 %   | OFF     | 10:33   |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 52.0 %   | OFF     | 10:34   |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 52.0 %   | OFF     | 10:35   |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 52.0 %   | OFF     | 10:36   |
| 22.2 °C             | 57.0 %           | 25.3 °C     | OFF      | 52.0 %   | OFF     | 10:37   |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 52.0 %   | OFF     | 10:38   |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 52.0 %   | OFF     | 10:39   |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 51.0 %   | OFF     | 10:40   |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 51.0 %   | OFF     | 10:41   |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 51.0 %   | OFF     | 10:42   |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 51.0 %   | OFF     | 10:43   |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 51.0 %   | OFF     | 10:44   |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 51.0 %   | OFF     | 10:45   |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 51.0 %   | OFF     | 10:46   |
| 22.2 °C             | 57.0 %           | 24.8 °C     | OFF      | 51.0 %   | OFF     | 10:47   |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 51.0 %   | OFF     | 10:48   |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 51.0 %   | OFF     | 10:49   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 51.0 %   | OFF     | 10:50   |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 51.0 %   | OFF     | 10:51   |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 51.0 %   | OFF     | 10:52   |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 51.0 %   | OFF     | 10:53   |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 51.0 %   | OFF     | 10:54   |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 51.0 %   | OFF     | 10:55   |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 51.0 %   | OFF     | 10:56   |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 51.0 %   | OFF     | 10:57   |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 51.0 %   | OFF     | 10:58   |
| 22.2 °C             | 57.0 %           | 24.5 °C     | OFF      | 51.0 %   | OFF     | 10:59   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:00   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:01   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:02   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:03   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:04   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:05   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:06   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:07   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:08   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:09   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:10   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:11   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:12   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:13   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:14   |
| 22.2 °C             | 57.0 %           | 24.1 °C     | OFF      | 51.0 %   | OFF     | 11:15   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:16   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:17   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:18   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:19   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:20   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:21   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:22   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:23   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:24   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:25   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:26   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:27   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:28   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:29   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:30   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:31   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:32   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:33   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:34   |
| 22.2 °C             | 57.0 %           | 23.8 °C     | OFF      | 52.0 %   | OFF     | 11:35   |
| 22.2 °C             | 57.0 %           | 23.7 °C     | OFF      | 52.0 %   | OFF     | 11:36   |
| 22.2 °C             | 57.0 %           | 23.7 °C     | OFF      | 52.0 %   | OFF     | 11:37   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:38   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:39   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:40   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:41   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:42   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:43   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:44   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:45   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:46   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:47   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:48   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:49   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:50   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:51   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:52   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:53   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:54   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:55   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:56   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:57   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:58   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 11:59   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 52.0 %   | OFF     | 12:00   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 53.0 %   | OFF     | 12:01   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 53.0 %   | OFF     | 12:02   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 53.0 %   | OFF     | 12:03   |
| 22.2 °C             | 57.0 %           | 23.4 °C     | OFF      | 53.0 %   | OFF     | 12:04   |
| 22.2 °C             | 57.0 %           | 23.2 °C     | OFF      | 53.0 %   | OFF     | 12:05   |
| 22.2 °C             | 57.0 %           | 23.2 °C     | OFF      | 53.0 %   | OFF     | 12:06   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:07   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:08   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:09   |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| Temperatura Inicial | Humidade Inicial | Temperatura | LED Temp | Humidade | LED Hum |  Tempo  |
+---------------------+------------------+-------------+----------+----------+---------+---------+
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:10   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:11   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:12   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:13   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:14   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:15   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:16   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:17   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:18   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:19   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:20   |
| 22.2 °C             | 57.0 %           | 23.0 °C     | OFF      | 53.0 %   | OFF     | 12:21   |
